house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,numBalconies,isNegotiable,priceSqFt,verificationDate,description,SecurityDeposit,Status
4 BHK Villa ,"5,896 sq ft",Friends Colony,Delhi,28.56834984,77.27211761,410100,INR,4,2,null,null,Posted a year ago,Its four bhk villa in the super location of delhi south friends colony it is the super location road bank atm school college all. R on wwlking destance," 10,20,202",Unfurnished
5 BHK Villa ,"6,521 sq ft",Friends Colony,Delhi,28.56834984,77.27211761,301012,INR,4,2,null,null,Posted a year ago,"Itâs a 5 bhk villa situated in Friends Colony, Delhi. It has an area of 6521 sqft with a carpet area of 4011 sqft . The property is available at a monthly rental of Rs. 3.01 lac . It is an unfurnished property. Its main door is facing northeast direction. It has 4 bathrooms and 2 balconies. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. If you are interested, please contact us for more details. "," 10,12,002",Unfurnished
5 BHK Villa ,"6,521 sq ft",Friends Colony,Delhi,28.56834984,77.27211761,301012,INR,4,2,null,null,Posted a year ago,"A 5 bhk property is available for rent in Friends Colony, Delhi. It has area of 6521 sqft and is available at a rent of Rs. 3.01 lac. It is an unfurnished property. It is facing northeast direction. It is well connected to the city areas. "," 10,12,002",Unfurnished
4 BHK Villa ,"5,896 sq ft",Friends Colony,Delhi,28.56834984,77.27211761,301022,INR,4,2,null,null,Posted a year ago,Its four bhk villa in the super location of delhi south friends colony it is the super lication road bank atm school college all r on wwlking destance," 10,10,202",Unfurnished
4 BHK Independent Floor ,"6,521 sq ft",Friends Colony,Delhi,28.56834984,77.27211761,401015,INR,4,2,null,null,Posted a year ago,Its four bhk builder floor in the super location delhi south friends colony it is the great location road bank atm school college all r on walking destance," 10,10,202",Unfurnished
4 BHK Independent Floor ,"5,896 sq ft",Friends Colony,Delhi,28.56834984,77.27211761,304040,INR,4,4,null,null,Posted a year ago,Its four bhk builder floor in the super location of delhi south friends colony it is the super location road bank atm school college all r on walking destancw," 10,10,205",Unfurnished
4 BHK Independent Floor ,"5,569 sq ft",Friends Colony,Delhi,28.56834984,77.27211761,235492,INR,4,2,null,null,Posted a year ago,Its four bhk builder floor in the super location of delhi south friends colony it is tje super location road bank atm school college all r on walking destancs," 7,04,010",Unfurnished
4 BHK Independent Floor ,"6,251 sq ft",Defence Colony,Delhi,28.57183075,77.23332977,301011,INR,4,2,null,null,Posted a year ago,Well designed 4 bhk builder floor is available at a prime location in Defence Colony. It has a built-up area of 6251 sqft and is available for rent at Rs. 3.01 lac per month . The house is unfurnished. It is located on the 3rd floor(out of a total of 4 floor(s)). It is facing east direction. It has 4 bathrooms and 2 balconies. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. ," 10,10,202",Unfurnished
4 BHK Independent Floor ,"5,896 sq ft",Defence Colony,Delhi,28.57183075,77.23332977,301012,INR,4,2,null,null,Posted a year ago,"This spacious 4 bhk builder floor is available for rental and is located in the heart of Defence Colony. It is located on the 2nd floor(out of a total of 4 floor(s)). The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. "," 10,12,022",Unfurnished
4 BHK Independent Floor ,"4,896 sq ft",Defence Colony,Delhi,28.57183075,77.23332977,301011,INR,4,2,null,null,Posted a year ago,Its four bhk builder floor in the super location of delhi south defence colony it is the super location road bank atm school college all r on wlking destance," 11,10,011",Unfurnished
4 BHK Independent Floor ,"6,251 sq ft",Defence Colony,Delhi,28.57183075,77.23332977,301011,INR,4,2,null,null,Posted a year ago,Its four bhk builder floor in the super location of delhi south defence colony it is the super location road bank atm school college all r on walking destance," 10,10,201",Unfurnished
3 BHK Independent Floor ,"2,741 sq ft",Defence Colony,Delhi,28.57183075,77.23332977,308555,INR,3,2,null,null,Posted a year ago,"Itâs a 3 bhk builder floor situated in Defence Colony, Delhi. It has a built-up area of 2741 sqft and is available for rent at Rs. 3.09 lac per month . Itâs on 2nd floor out of 4 floors building. It has 3 bathrooms and 2 balconies. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. "," 10,85,552",Unfurnished
3 BHK Independent Floor ,"2,741 sq ft",Defence Colony,Delhi,28.57183075,77.23332977,308521,INR,3,2,null,null,Posted a year ago,"Well designed 3 bhk builder floor is available at a prime location in Defence Colony. It has an area of 2741 sqft with a carpet area of 1852 sqft . The property is available at a monthly rental of Rs. 3.09 lac . The house is unfurnished. It is on 2nd floor. The building has a total of 4 floor(s). It is facing east direction. The property has 3 bathrooms and 2 balconies. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. "," 10,85,115",Unfurnished
3 BHK Independent Floor ,"2,852 sq ft",Defence Colony,Delhi,28.57183075,77.23332977,308214,INR,3,2,null,null,Posted a year ago,"A spacious 3 bhk builder floor is available for rental in Defence Colony, Delhi. It has a built-up area of 2852 sqft and is available for rent at Rs. 3.08 lac per month . The house is unfurnished. Itâs on 2nd floor out of 4 floors building. Its main door is facing east direction. It has 3 bathrooms and 2 balconies. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. "," 10,52,112",Unfurnished
3 BHK Independent Floor ,"2,852 sq ft",Defence Colony,Delhi,28.57183075,77.23332977,308521,INR,3,2,null,null,Posted a year ago,Itâs a 3 bhk builder floor situated in Defence Colony. It has area of 2852 sqft and is available at a rent of Rs. 3.09 lac. The house is unfurnished. It is on the 2nd floor of the building (total number of floors are 4). It is east facing property. The property has 3 bathrooms and 2 balconies. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact us for more details. ," 10,82,114",Unfurnished
1 BHK Apartment ,750 sq ft,Neb Sarai,Delhi,28.50135422,77.20719147,7000,INR,1,null,null,null,Posted a year ago,"Itâs a 1 bhk multistorey apartment situated in Neb Sarai, Delhi. It has a built-up area of 750 sqft and is available for rent at Rs. 7,000 per month . It is a semi-furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
4 BHK Independent Floor ,"5,896 sq ft",Defence Colony,Delhi,28.57183075,77.23332977,301020,INR,4,2,null,null,Posted a year ago,Well designed 4 bhk builder floor is available at a prime location in Defence Colony. It has area of 5896 sqft and is available at a rent of Rs. 3.01 lac. The house is unfurnished. It is east facing property. The property has 4 bathrooms and 2 balconies. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Kindly call us for details. ," 10,10,011",Unfurnished
4 BHK Independent Floor ,"6,251 sq ft",Defence Colony,Delhi,28.57183075,77.23332977,362166,INR,4,2,null,null,Posted a year ago,Its four bhk builder floor in the super location of delhi south defence colony it is the super location road bank atm school college all r on wwlking destance," 10,10,201",Unfurnished
5 BHK Independent Floor ,"4,362 sq ft",Defence Colony,Delhi,28.57183075,77.23332977,401015,INR,4,2,null,null,Posted a year ago,Well designed 5 bhk builder floor is available at a prime location in Defence Colony. It has an area of 4362 sqft with a carpet area of 3085 sqft . The property is available at a monthly rental of Rs. 4.01 lac . The house is unfurnished. It is on the 3rd floor of the building (total number of floors are 4). It is situated in the proximity of all the important facilities. Contact us for more details. ," 18,20,202",Unfurnished
4 BHK Independent Floor ,"6,521 sq ft",Defence Colony,Delhi,28.57183075,77.23332977,504015,INR,4,2,null,null,Posted a year ago,This spacious 4 bhk builder floor is available for rental and is located in the heart of Defence Colony. It has area of 6521 sqft and is available at a rent of Rs. 5.04 lac. It is on the 3rd floor of the building (total number of floors are 4). It is east facing property. The property has 4 bathrooms and 2 balconies. The site is in close proximity to various civic utilities. ," 15,48,184",Unfurnished
4 BHK Independent Floor ,"5,896 sq ft",Sunder Nagar,Delhi,28.61843681,76.96178436,301012,INR,4,2,null,null,Posted a year ago,Its four bhk builder floor in the super location of delhi south sunder nager it is the super location road bank atm school college all r on walking destance," 10,20,201",Unfurnished
4 BHK Independent Floor ,"5,896 sq ft",Sunder Nagar,Delhi,28.61843681,76.96178436,401010,INR,4,2,null,null,Posted a year ago,Its four bhk builder floor in the super location of delhi central sunder nager it is the super location road bank atm school college all r on walking destance," 10,12,005",Unfurnished
5 BHK Independent Floor ,"6,521 sq ft",Sunder Nagar,Delhi,28.61843681,76.96178436,301012,INR,4,2,null,null,Posted a year ago,"A 5 bhk property is available for rent in Sunder Nagar, Delhi. It has a built-up area of 6521 sqft and is available for rent at Rs. 3.01 lac per month . The house is unfurnished. It is on the 2nd floor of the building (total number of floors are 4). It is facing east direction. It has 4 bathrooms and 2 balconies. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. "," 10,11,001",Unfurnished
5 BHK Independent Floor ,"6,521 sq ft",Sunder Nagar,Delhi,28.61843681,76.96178436,301022,INR,4,4,null,null,Posted a year ago,"A spacious 5 bhk builder floor is available for rental in Sunder Nagar, Delhi. The house is unfurnished. Itâs on 3rd floor out of 4 floors building. Its main door is facing northeast direction. The property has 4 bathrooms and 4 balconies. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. "," 10,20,202",Unfurnished
4 BHK Villa ,"5,896 sq ft",Defence Colony,Delhi,28.57183075,77.23332977,301011,INR,4,2,null,null,Posted a year ago,Its four bhk villa in the super location of delhi south defence colony it is the super location road bank atm school college all r on walking destance," 10,10,101",Unfurnished
5 BHK Villa ,"6,521 sq ft",Defence Colony,Delhi,28.57183075,77.23332977,401011,INR,4,2,null,null,Posted a year ago,Well designed 5 bhk villa is available at a prime location in Defence Colony. The house is unfurnished. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Please contact us for more details. ," 11,02,020",Unfurnished
5 BHK Villa ,"6,521 sq ft",Defence Colony,Delhi,28.57183075,77.23332977,546191,INR,4,2,null,null,Posted a year ago,"This spacious 5 bhk villa is available for rental and is located in the heart of Defence Colony. It has an area of 6521 sqft with a carpet area of 4011 sqft . The property is available at a monthly rental of Rs. 5.46 lac . The house is unfurnished. It has 4 bathrooms and 2 balconies. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. "," 15,49,191",Unfurnished
5 BHK Independent House ,"6,521 sq ft",Defence Colony,Delhi,28.57183075,77.23332977,546461,INR,4,2,null,null,Posted a year ago,"A 5 bhk property is available for rent in Defence Colony, Delhi. It has area of 6521 sqft and is available at a rent of Rs. 5.46 lac. The house is unfurnished. Its main door is facing east direction. It has 4 bathrooms and 2 balconies. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Please contact us for more details. "," 15,49,191",Unfurnished
5 BHK Independent Floor ,"6,521 sq ft",Sunder Nagar,Delhi,28.61843681,76.96178436,401015,INR,4,2,null,null,Posted a year ago,Itâs a 5 bhk builder floor situated in Sunder Nagar. It has a built-up area of 6521 sqft and is available for rent at Rs. 4.01 lac per month . It is located on the 3rd floor(out of a total of 4 floor(s)). It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Please contact us for more details. ," 10,10,202",Unfurnished
5 BHK Independent Floor ,"6,521 sq ft",Sunder Nagar,Delhi,28.61843681,76.96178436,504015,INR,4,2,null,null,Posted a year ago,"This spacious 5 bhk builder floor is available for rental and is located in the heart of Sunder Nagar. It has area of 6521 sqft and is available at a rent of Rs. 5.04 lac. It is an unfurnished property. It is on the 3rd floor of the building (total number of floors are 4). It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. "," 15,49,185",Unfurnished
5 BHK Independent Floor ,"6,521 sq ft",Sunder Nagar,Delhi,28.61843681,76.96178436,301022,INR,4,2,null,null,Posted a year ago,"A 5 bhk property is available for rent in Sunder Nagar, Delhi. It is an unfurnished property. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. "," 10,10,202",Unfurnished
5 BHK Independent Floor ,"6,251 sq ft",Sunder Nagar,Delhi,28.61843681,76.96178436,401010,INR,4,2,null,null,Posted a year ago,Well designed 5 bhk builder floor is available at a prime location in Sunder Nagar. It has an area of 6251 sqft with a carpet area of 4011 sqft . The property is available at a monthly rental of Rs. 4.01 lac . Itâs on 3rd floor out of 4 floors building. It is east facing property. The property has 4 bathrooms and 2 balconies. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Kindly call us for details. ," 10,10,202",Unfurnished
5 BHK Independent Floor ,"6,521 sq ft",Sunder Nagar,Delhi,28.61843681,76.96178436,301022,INR,4,2,null,null,Posted a year ago,"This spacious 5 bhk builder floor is available for rental and is located in the heart of Sunder Nagar. It has area of 6521 sqft and is available at a rent of Rs. 3.01 lac. Its main door is facing northeast direction. It has 4 bathrooms and 2 balconies. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. If you are interested, please contact us for more details. "," 10,10,200",Unfurnished
5 BHK Independent Floor ,"6,521 sq ft",Sunder Nagar,Delhi,28.61843681,76.96178436,540105,INR,4,2,null,null,Posted a year ago,"This spacious 5 bhk builder floor is available for rental and is located in the heart of Sunder Nagar. It has area of 6521 sqft and is available at a rent of Rs. 5.40 lac. It is an unfurnished property. It is on the 2nd floor of the building (total number of floors are 4). The property has 4 bathrooms and 2 balconies. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. "," 15,40,105",Unfurnished
3 BHK Apartment ,"1,525 sq ft",Karampura,Delhi,28.66576004,77.15023041,48000,INR,3,3,null,null,Posted 6 months ago,"It has an area of 1525 sqft with a carpet area of 1425 sqft . The property is available at a monthly rental of Rs. 48,000 . It is a semi-furnished property. It has swimming pool. Other amenities include rain water harvesting, gymnasium, jogging track, intercom, 24 x 7 security, club house, lift available, children's play area and car parking. It has 3 bathrooms and 3 balconies. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. "," 96,000",Semi-Furnished
3 BHK Independent Floor ,"2,856 sq ft",Jor bagh,Delhi,28.67728996,77.15930176,401015,INR,3,2,null,null,Posted 6 months ago,Its three bhk builder floor in the super location of Delhi south jor bagh it is the super location road bank ATM school college all r on walking distance," 10,10,202",Unfurnished
3 BHK Independent Floor ,"2,856 sq ft",Jor bagh,Delhi,28.67728996,77.15930176,301012,INR,3,2,null,null,Posted 6 months ago,Its three bhk builder floor in the super location of Delhi south jor bagh it is the super location road bank ATM school college all r on walking distance," 18,18,182",Unfurnished
3 BHK Independent Floor ,"2,856 sq ft",Jor bagh,Delhi,28.67728996,77.15930176,301012,INR,3,2,null,null,Posted 6 months ago,Its three bhk builder floor in the super location of Delhi south jor bagh it is the super location road bank ATM school college all r on walking distance from," 18,18,282",Unfurnished
3 BHK Independent Floor ,"2,741 sq ft",Jor bagh,Delhi,28.67728996,77.15930176,301011,INR,3,2,null,null,Posted 6 months ago,Its three bhk builder floor in the super location of Delhi south jor bagh it is the super location road bank ATM school college all r on walking distance," 10,10,101",Unfurnished
3 BHK Independent Floor ,"2,856 sq ft",Jor bagh,Delhi,28.67728996,77.15930176,301012,INR,3,2,null,null,Posted 6 months ago,Its three bhk builder floor in the super location of Delhi south jor bagh it is the super location road bank ATM school college all r on walking distance," 10,10,202",Unfurnished
3 BHK Independent Floor ,"2,856 sq ft",Jor bagh,Delhi,28.67728996,77.15930176,301012,INR,3,2,null,null,Posted 6 months ago,Its three bhk builder floor in the super location of Delhi south jor bagh it is the super location road bank ATM school college all r on walking distance," 10,10,202",Unfurnished
3 BHK Independent Floor ,"2,856 sq ft",Jor bagh,Delhi,28.67728996,77.15930176,301022,INR,3,2,null,null,Posted 6 months ago,Its three bhk builder floor in the super location of Delhi south jor bagh it is the super location road bank ATM school college all r on walking distance," 18,10,201",Unfurnished
4 BHK Villa ,"5,896 sq ft",Anand Niketan,Delhi,28.57893944,77.16504669,549191,INR,4,2,null,null,Posted 6 months ago,"Itâs a 4 bhk villa situated in Anand Niketan, Delhi. It has an area of 5896 sqft with a carpet area of 3621 sqft . The property is available at a monthly rental of Rs. 5.49 lac . It is an unfurnished property. It is east facing property. It has 4 bathrooms and 2 balconies. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Please contact us for more details. "," 15,49,114",Unfurnished
4 BHK Villa ,"5,896 sq ft",Anand Niketan,Delhi,28.57893944,77.16504669,459229,INR,4,2,null,null,Posted 6 months ago,Itâs a 4 bhk villa situated in Anand Niketan. It has an area of 5896 sqft with a carpet area of 3621 sqft . The property is available at a monthly rental of Rs. 4.59 lac . It is facing northeast direction. The property has 4 bathrooms and 2 balconies. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Contact us for more details. ," 15,41,991",Unfurnished
4 BHK Villa ,"5,896 sq ft",Anand Niketan,Delhi,28.57893944,77.16504669,740400,INR,4,2,null,null,Posted 6 months ago,"Itâs a 4 bhk villa situated in Anand Niketan, Delhi. It has a built-up area of 5896 sqft and is available for rent at Rs. 7.40 lac per month . The house is unfurnished. Its main door is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. "," 25,41,815",Unfurnished
4 BHK Independent House ,"5,896 sq ft",Anand Niketan,Delhi,28.57893944,77.16504669,401012,INR,4,2,null,null,Posted 6 months ago,"A spacious 4 bhk independent house is available for rental in Anand Niketan, Delhi. It has a built-up area of 5896 sqft and is available for rent at Rs. 4.01 lac per month . It is an unfurnished property. Its main door is facing east direction. The property has 4 bathrooms and 2 balconies. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. "," 10,10,202",Unfurnished
4 BHK Independent Floor ,"5,896 sq ft",Anand Niketan,Delhi,28.57893944,77.16504669,301012,INR,4,2,null,null,Posted 6 months ago,"A spacious 4 bhk builder floor is available for rental in Anand Niketan, Delhi. It has a built-up area of 5896 sqft and is available for rent at Rs. 3.01 lac per month . The house is unfurnished. It is on the 3rd floor of the building (total number of floors are 4). Its main door is facing east direction. It has 4 bathrooms and 2 balconies. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. "," 18,12,801",Unfurnished
4 BHK Independent Floor ,"5,896 sq ft",Jor bagh,Delhi,28.67728996,77.15930176,301022,INR,4,2,null,null,Posted 6 months ago,Its four bhk builder floor in the super location of Delhi south jor bagh it is the super location road bank ATM school college all r on walking distance," 10,11,002",Unfurnished
4 BHK Independent Floor ,"5,896 sq ft",Jor bagh,Delhi,28.67728996,77.15930176,301012,INR,4,2,null,null,Posted 6 months ago,"Itâs a 4 bhk builder floor situated in Jor bagh, Delhi. It has an area of 5896 sqft with a carpet area of 3611 sqft . The property is available at a monthly rental of Rs. 3.01 lac . It is an unfurnished property. It is on 3rd floor. The building has a total of 4 floor(s). Its main door is facing east direction. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. "," 10,12,020",Unfurnished
3 BHK Independent Floor ,900 sq ft,mayur vihar phase 1,Delhi,28.60659218,77.29367828,18500,INR,2,1,Negotiable,null,Posted 6 months ago,"Itâs a 3 bhk builder floor situated in mayur vihar phase 1. It has a built-up area of 900 sqft and is available for rent at Rs. 18,500 per month (negotiable). The house is unfurnished. It is located on the 2nd floor(out of a total of 3 floor(s)). It is northeast facing property. The property has 2 bathrooms and 1 balcony. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. "," 18,500",Unfurnished
4 BHK Independent Floor ,"5,896 sq ft",Jor bagh,Delhi,28.67728996,77.15930176,325562,INR,4,2,null,null,Posted 6 months ago,Its four bhk builder floor in the super location of Delhi south jor bagh it is the super location road bank ATM school college all r on walking distance," 11,02,002",Unfurnished
4 BHK Independent Floor ,"5,896 sq ft",Jor bagh,Delhi,28.67728996,77.15930176,301011,INR,4,2,null,null,Posted 6 months ago,Its four bhk builder floor in the super location of Delhi south jor bagh it is the super location road bank ATM school college all r on walking distance," 10,10,202",Unfurnished
4 BHK Independent Floor ,"5,891 sq ft",Anand Niketan,Delhi,28.57893944,77.16504669,235596,INR,4,2,null,null,Posted 6 months ago,"A spacious 4 bhk builder floor is available for rental in Anand Niketan, Delhi. The house is unfurnished. It is on the 2nd floor of the building (total number of floors are 4). It is east facing property. It has 4 bathrooms and 2 balconies. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. "," 7,54,818",Unfurnished
4 BHK Independent Floor ,"5,896 sq ft",Anand Niketan,Delhi,28.57893944,77.16504669,301012,INR,4,2,null,null,Posted 6 months ago,Its four bhk builder floor in the super location of Delhi south anand niketan it is the super location road bank ATM school college all r on walking distance," 18,18,281",Unfurnished
4 BHK Independent Floor ,"5,896 sq ft",Anand Niketan,Delhi,28.57893944,77.16504669,440105,INR,4,2,null,null,Posted 6 months ago,This spacious 4 bhk builder floor is available for rental and is located in the heart of Anand Niketan. It is an unfurnished property. It is located on the 2nd floor(out of a total of 4 floor(s)). Its main door is facing northeast direction. The property has 4 bathrooms and 2 balconies. The society is well connected by different modes of transportation. ," 10,18,282",Unfurnished
4 BHK Independent Floor ,"5,896 sq ft",Anand Niketan,Delhi,28.57893944,77.16504669,325652,INR,4,2,null,null,Posted 6 months ago,Its four bhk builder floor in the super location of Delhi south anand niketan it is the superb location road bank ATM school college all r on walking distance," 18,18,282",Unfurnished
3 BHK Independent Floor ,"2,856 sq ft",Jor bagh,Delhi,28.67728996,77.15930176,301014,INR,3,2,null,null,Posted 6 months ago,Its three bhk builder floor in the super location of Delhi south jor bagh it is the superb location road bank ATM school college all r on walking distance from," 10,12,002",Unfurnished
4 BHK Independent House ,"5,896 sq ft",Shanti Niketan,Delhi,28.57792091,77.16937256,646114,INR,4,2,null,null,Posted 6 months ago,It has a built-up area of 5896 sqft and is available for rent at Rs. 6.46 lac per month . It is an unfurnished property. Its main door is facing northeast direction. The property has 4 bathrooms and 2 balconies. It is well connected to the city areas. Please contact for more details. ," 28,28,882",Unfurnished
4 BHK Independent House ,"5,896 sq ft",Shanti Niketan,Delhi,28.57792091,77.16937256,704404,INR,4,2,null,null,Posted 6 months ago,"Itâs a 4 bhk independent house situated in Shanti Niketan. The house is unfurnished. It is facing east direction. It has 4 bathrooms and 2 balconies. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact us for more details. "," 20,10,205",Unfurnished
3 BHK Independent Floor ,"2,856 sq ft",Anand Niketan,Delhi,28.57893944,77.16504669,301012,INR,3,2,null,null,Posted 6 months ago,"Itâs a 3 bhk builder floor situated in Anand Niketan, Delhi. It has an area of 2856 sqft with a carpet area of 1652 sqft . The property is available at a monthly rental of Rs. 3.01 lac . The house is unfurnished. It is located on the 2nd floor(out of a total of 4 floor(s)). Its main door is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. "," 10,10,220",Unfurnished
3 BHK Independent Floor ,"2,741 sq ft",Anand Niketan,Delhi,28.57893944,77.16504669,301012,INR,3,2,null,null,Posted 6 months ago,Its three bhk builder floor in the super location of Delhi south anand niketan it is the super location road bank ATM school college all r on walking distance," 18,18,281",Unfurnished
2 BHK Independent House ,"1,000 sq ft",Mayur Vihar Phase II,Delhi,28.61696434,77.30084991,20000,INR,2,1,Negotiable,null,Posted 6 months ago,"This spacious 2 bhk independent house is available for rental and is located in the heart of Mayur Vihar Phase II. The house is semi-furnished. It is east facing property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. "," 40,000",Semi-Furnished
3 BHK Apartment ,"1,550 sq ft",mayur vihar phase 1,Delhi,28.60659218,77.29367828,40000,INR,2,2,Negotiable,null,Posted 6 months ago,"It has area of 1550 sqft and is available at a rent of Rs. 40,000. The house is semi-furnished. It is north facing property. It is made in way to provide a comfortable living for the residents. Please contact for more details. "," 80,000",Semi-Furnished
4 BHK Independent Floor ,"5,896 sq ft",Niti Bagh,Delhi,28.55949974,77.21679688,301022,INR,4,2,null,null,Posted 5 months ago,Its four bhk builder floor in the super location of Delhi south niti bagh it is the super location road bank ATM school college all r on walking distance," 10,10,101",Unfurnished
3 BHK Independent Floor ,"2,856 sq ft",Niti Bagh,Delhi,28.55949974,77.21679688,381012,INR,3,2,null,null,Posted 5 months ago,Its three bhk builder floor in the super location of Delhi south niti bagh it is the super location of area road bank ATM school college all r on walking distance," 10,10,220",Unfurnished
4 BHK Villa ,"5,896 sq ft",Maharani Bagh,Delhi,28.57262039,77.26422119,401012,INR,4,2,null,null,Posted 5 months ago,"Itâs a 4 bhk villa situated in Maharani Bagh, Delhi. It has area of 5896 sqft and is available at a rent of Rs. 4.01 lac. The house is unfurnished. It is facing northeast direction. The property has 4 bathrooms and 2 balconies. It is made in way to provide a comfortable living. It is well connected to the city areas. "," 10,28,222",Unfurnished
5 BHK Independent Floor ,"6,521 sq ft",Niti Bagh,Delhi,28.55949974,77.21679688,301012,INR,4,2,null,null,Posted 5 months ago,"Itâs a 5 bhk builder floor situated in Niti Bagh, Delhi. The house is unfurnished. It is on the 3rd floor of the building (total number of floors are 4). It is facing east direction. It has 4 bathrooms and 2 balconies. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. "," 10,10,102",Unfurnished
3 BHK Independent Floor ,"2,856 sq ft",Niti Bagh,Delhi,28.55949974,77.21679688,362621,INR,3,2,null,null,Posted 5 months ago,"Itâs a 3 bhk builder floor situated in Niti Bagh, Delhi. It has area of 2856 sqft and is available at a rent of Rs. 3.63 lac. It is an unfurnished property. Itâs on 3rd floor out of 5 floors building. Its main door is facing northeast direction. It has 3 bathrooms and 2 balconies. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. "," 10,10,110",Unfurnished
5 BHK Villa ,"6,521 sq ft",Maharani Bagh,Delhi,28.57262039,77.26422119,504101,INR,4,2,null,null,Posted 5 months ago,This spacious 5 bhk villa is available for rental and is located in the heart of Maharani Bagh. It has a built-up area of 6521 sqft and is available for rent at Rs. 5.04 lac per month . The house is unfurnished. It is facing northeast direction. The property has 4 bathrooms and 2 balconies. The society is well connected by different modes of transportation. Please contact us for more details. ," 15,49,118",Unfurnished
3 BHK Independent Floor ,"2,856 sq ft",Niti Bagh,Delhi,28.55949974,77.21679688,301012,INR,3,2,null,null,Posted 5 months ago,Its three bhk builder floor in the super location of Delhi south niti bagh it is the super location road bank ATM school college all r on walking distance," 10,10,201",Unfurnished
5 BHK Independent House ,"6,521 sq ft",Maharani Bagh,Delhi,28.57262039,77.26422119,640110,INR,4,2,null,null,Posted 5 months ago,"Itâs a 5 bhk independent house situated in Maharani Bagh, Delhi. It is an unfurnished property. It is facing northeast direction. The property has 4 bathrooms and 2 balconies. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. "," 20,10,120",Unfurnished
3 BHK Independent Floor ,"2,856 sq ft",Niti Bagh,Delhi,28.55949974,77.21679688,301012,INR,3,2,null,null,Posted 5 months ago,Its three bhk builder floor in the super location of Delhi south niti bagh it is the super location road bank ATM school college all r on walking distance from," 10,10,110",Unfurnished
